City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
761,Den Helder,NL,43.02,overcast clouds,52.9599,4.7593,Hotel Den Helder
762,Barcelona,ES,58.96,clear sky,41.3888,2.159,Axel Hotel Barcelona
763,Acarau,BR,75.51,overcast clouds,-2.8856,-40.12,castelo pizzaria
764,Vaitape,PF,80.28,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
765,Tlacote El Bajo,MX,74.84,clear sky,20.65,-100.5,Quinta Los Ganzos
766,Namatanai,PG,78.6,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
767,Najran,SA,61.45,few clouds,17.4924,44.1277,محمد هادي ال فطيح
768,Takoradi,GH,79.86,overcast clouds,4.8845,-1.7554,Raybow International Hotel
769,Atar,MR,82.06,overcast clouds,20.5169,-13.0499,Oumou Elghoura
770,Jizan,SA,79.74,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
771,Sabha,LY,48.6,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
772,Batemans Bay,AU,72.19,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
773,Puerto Quijarro,BO,79.66,overcast clouds,-17.7833,-57.7667,Hotel palance
774,Susanville,US,47.8,clear sky,40.4163,-120.653,Comfort Inn & Suites
775,Mae Hong Son,TH,55.27,clear sky,19.3003,97.9685,Baiyoke Chalet Hotel
776,Corrales,US,51.66,scattered clouds,35.2378,-106.6067,Quality Inn
777,Mariahu,IN,52.5,clear sky,25.6167,82.6167,THAKUR GATE
778,Arlit,NE,66.94,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
779,Kihei,US,77.97,clear sky,20.785,-156.4656,Maui Sunset
781,Tacoronte,ES,59.94,few clouds,28.4769,-16.4102,Casa Laurel
783,Kananga,CD,71.2,overcast clouds,-5.8958,22.4178,Guest House Wood Land
784,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
785,Pierre,US,44.28,clear sky,44.3683,-100.351,Ramkota Hotel
786,Emerald,AU,75.34,overcast clouds,-23.5333,148.1667,The Irish Village
787,Muros,ES,54.1,clear sky,42.7762,-9.0603,Apartment Av. Castelao
788,Manoharpur,IN,52.75,clear sky,27.3,75.95,कैथल हरियाणा होटल
789,Dalby,AU,64.98,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
790,Tagusao,PH,78.78,clear sky,9.1924,117.8141,Green Villa beach resort
791,Imbituba,BR,76.89,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
792,Gescher,DE,40.51,broken clouds,51.954,7.0048,Dom Hotel
793,Beruwala,LK,78.85,few clouds,6.4788,79.9828,The Palms Hotel
794,Piritiba,BR,80.33,broken clouds,-11.7303,-40.5553,Pousada Capim Guine
795,Sirjan,IR,46.22,few clouds,29.452,55.6814,MAPNA Building
796,Pangkalanbuun,ID,74.68,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
797,Boyolangu,ID,75.29,overcast clouds,-8.1181,111.8935,Yos ega cv
798,Loa Janan,ID,72.93,overcast clouds,-0.583,117.095,Kost bu jono
799,Mantua,IT,46.49,clear sky,45.1667,10.7833,Hotel la Favorita
800,Menongue,AO,64.49,overcast clouds,-14.6585,17.691,Ritz Lauca
801,Kalabo,ZM,64.81,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
802,Waipawa,NZ,58.3,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
803,Labrea,BR,78.82,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
804,Salta,AR,82.99,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
805,Rawson,AR,62.1,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
806,Charlestown,AU,72.73,scattered clouds,-32.95,151.6667,Panorama Motor Inn Hotel
807,Sokoni,TZ,80.44,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
808,San Quintin,MX,64.02,clear sky,30.4833,-115.95,Don Eddie's Landing
809,North Bend,US,54.07,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
810,Kontagora,NG,79.09,overcast clouds,10.3999,5.4695,Queens Guest Inn
811,Mana,GF,81.32,broken clouds,5.6592,-53.7767,LE SAMANA
812,Kushima,JP,40.12,clear sky,31.4583,131.2333,Hanaoka
813,Jibuti,DJ,71.02,clear sky,11.5,42.5,Orchid Main Camp Goubet
814,Iquique,CL,73.44,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
815,Jalu,LY,55.11,broken clouds,29.0331,21.5482,صاحبة الفخامة
816,Tortoli,IT,51.62,clear sky,39.9256,9.6572,Hotel La Bitta
817,Christchurch,NZ,68.02,few clouds,-43.5333,172.6333,The George
818,Morehead,US,48.15,clear sky,37.2711,-87.1764,CCI Express Inn
819,Santa Maria,BR,83.5,few clouds,-29.6842,-53.8069,Hotel Morotin
820,Prachuap Khiri Khan,TH,65.89,clear sky,12.2167,99.75,ผกากรองรีสอร์ท
821,Dubbo,AU,68.13,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
822,Magole,TZ,71.73,light rain,-6.3667,37.3667,Juma lubelwa
823,Mirador,BR,78.42,overcast clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
824,Cedar City,US,44.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
825,Bilma,NE,61.75,clear sky,18.6853,12.9164,Expeditions Ténére voyages
826,Kiama,AU,71.38,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
827,Karpathos,GR,53.56,clear sky,35.507,27.2132,Alex
828,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
830,Ballina,AU,71.78,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
831,Temoac,MX,75.69,clear sky,18.7667,-98.7833,Posada Frida
832,Sakakah,SA,53.17,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
834,Kamina,CD,65.7,overcast clouds,-8.7386,24.9906,Guest House Florvia
835,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
836,Frontignan,FR,49.95,clear sky,43.4485,3.754,Domain Selhac: Cottages in Frontignan
837,Huntsville,US,58.1,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
838,Kasangulu,CD,83.28,overcast clouds,-4.5911,15.1708,Hôtel le Relais
839,Fianarantsoa,MG,63.61,overcast clouds,-21.4333,47.0833,Soratel
840,Nombre De Dios,MX,72.81,clear sky,23.85,-104.2333,Uraján de Luna Hotel Boutique & SPA
841,Acapulco,MX,84.94,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
842,Harrisonville,US,46.6,clear sky,38.6533,-94.3488,Americas Best Value Inn & Suites Harrisonville
843,Port Blair,IN,69.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
844,Tshikapa,CD,73.56,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
846,Pozoblanco,ES,43.38,clear sky,38.3791,-4.8483,Hotel Nomada
847,Kabanjahe,ID,61.56,broken clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
848,Naze,JP,52.54,overcast clouds,28.3667,129.4833,Shishime Hotel
849,Brokopondo,SR,83.07,broken clouds,4.75,-55.1667,Matu Island
850,Kavaratti,IN,81.34,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
853,Pacific Grove,US,66.63,clear sky,36.6177,-121.9166,Lovers Point Inn
854,Glendive,US,45.48,clear sky,47.1053,-104.7125,Baymont by Wyndham Glendive
855,Chicama,PE,70.34,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
856,Nago,JP,57.63,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
857,Sao Sebastiao,BR,73.85,light rain,-23.76,-45.4097,Hotel Recanto dos Pássaros
858,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
859,Luxor,EG,57.25,clear sky,25.6989,32.6421,Iberotel Luxor
860,Salina,US,53.85,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
861,Sibu,MY,75.51,few clouds,2.3,111.8167,RH HOTEL (4 Star)
863,Margate,GB,42.96,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
